Shear rate,Shear stress
2,66.04495145
2.472529047,71.83335483
3.054741772,79.11097862
3.978502884,88.38885756
4.998864794,98.3653746
6.246547445,109.2897743
7.945852214,124.1447915
9.967245151,141.1573045
12.60952056,163.3326231
15.82098778,189.0063294
19.94485309,221.1156469
25.08172572,262.3935929
31.64308639,309.8878892
39.90952682,370.7056346
50.14303823,446.8636869
63.14641543,541.836191
79.55860196,661.7480971
100,811.3046004
